item,id,domain,subcategory,socio_attr,gender,knob,metric,score_correct,score_adv,margin,prefers_correct
456,ani00252,animal,bird,,,layout_relation,pick,22.052507,22.145607,-0.0931,0
279,ani01108,animal,mammal,,,count,clip,0.20755,0.254206,-0.046656,0
279,ani01108,animal,mammal,,,count,pick,19.978207,21.417828,-1.439621,0
44,ani00084,animal,bird,,,scale_size,clip,0.271231,0.315635,-0.044404,0
44,ani00084,animal,bird,,,scale_size,pick,22.304585,24.206743,-1.902159,0
302,ani00370,animal,bird,,,spatial,clip,0.259645,0.286522,-0.026877,0
302,ani00370,animal,bird,,,spatial,pick,22.35952,21.289221,1.070299,1
216,ani00409,animal,bird,,,count,clip,0.222348,0.280332,-0.057984,0
216,ani00409,animal,bird,,,count,pick,20.432617,23.64999,-3.217373,0
16,ani01229,animal,mammal,,,color_tone,clip,0.197554,0.246659,-0.049105,0
16,ani01229,animal,mammal,,,color_tone,pick,21.82151,21.888809,-0.067299,0
15,ani01229,animal,mammal,,,color_tone,clip,0.215474,0.235005,-0.019531,0
15,ani01229,animal,mammal,,,color_tone,pick,21.352232,21.430445,-0.078213,0
47,ani00084,animal,bird,,,scale_size,clip,0.246748,0.284918,-0.03817,0
47,ani00084,animal,bird,,,scale_size,pick,22.320934,24.766138,-2.445204,0
111,ani01983,animal,animal,,,scale_size,clip,0.21055,0.267249,-0.056699,0
111,ani01983,animal,animal,,,scale_size,pick,18.942312,22.163124,-3.220812,0
119,ani01901,animal,animal,,,count,clip,0.211874,0.270101,-0.058227,0
119,ani01901,animal,animal,,,count,pick,21.389702,22.406818,-1.017117,0
258,ani00008,animal,bird,,,count,clip,0.219822,0.286912,-0.06709,0
258,ani00008,animal,bird,,,count,pick,21.088814,21.95627,-0.867456,0
308,ani00392,animal,bird,,,scale_size,clip,0.276381,0.293587,-0.017206,0
308,ani00392,animal,bird,,,scale_size,pick,22.954344,23.743528,-0.789185,0
13,ani01509,animal,animal,,,count,clip,0.185109,0.265693,-0.080584,0
13,ani01509,animal,animal,,,count,pick,21.098024,23.684711,-2.586687,0
287,ani00339,animal,bird,,,color_tone,clip,0.197262,0.254753,-0.057491,0
287,ani00339,animal,bird,,,color_tone,pick,21.706041,22.600864,-0.894823,0
101,ani01194,animal,mammal,,,scale_size,clip,0.18137,0.242833,-0.061462,0
101,ani01194,animal,mammal,,,scale_size,pick,20.801996,20.27186,0.530136,1
366,ani01111,animal,mammal,,,count,clip,0.227952,0.259926,-0.031973,0
366,ani01111,animal,mammal,,,count,pick,22.56422,22.59787,-0.033649,0
332,ani01917,animal,animal,,,count,clip,0.22572,0.271562,-0.045842,0
332,ani01917,animal,animal,,,count,pick,20.831358,21.7097,-0.878342,0
359,ani00226,animal,bird,,,color_tone,clip,0.269446,0.306938,-0.037493,0
359,ani00226,animal,bird,,,color_tone,pick,22.251381,24.74156,-2.490179,0
486,ani00859,animal,mammal,,,layout_relation,clip,0.225648,0.210675,0.014973,1
486,ani00859,animal,mammal,,,layout_relation,pick,21.408094,20.498039,0.910055,1
214,ani00251,animal,bird,,,layout_relation,clip,0.262524,0.280879,-0.018356,0
214,ani00251,animal,bird,,,layout_relation,pick,23.035744,23.647665,-0.611921,0
112,ani01983,animal,animal,,,scale_size,clip,0.255667,0.277845,-0.022177,0
112,ani01983,animal,animal,,,scale_size,pick,18.861877,21.400791,-2.538914,0
229,ani01608,animal,animal,,,count,clip,0.269126,0.169867,0.09926,1
229,ani01608,animal,animal,,,count,pick,23.272278,19.593052,3.679226,1
301,ani00850,animal,mammal,,,layout_relation,clip,0.249741,0.194905,0.054836,1
301,ani00850,animal,mammal,,,layout_relation,pick,22.269047,20.564737,1.704309,1
142,ani00746,animal,bird,,,layout_relation,clip,0.229295,0.277874,-0.048579,0
142,ani00746,animal,bird,,,layout_relation,pick,21.004747,22.396423,-1.391676,0
414,ani01399,animal,mammal,,,scale_size,clip,0.234857,0.245079,-0.010222,0
414,ani01399,animal,mammal,,,scale_size,pick,21.349903,21.331461,0.018442,1
445,ani01032,animal,mammal,,,color_tone,clip,0.270364,0.238087,0.032277,1
445,ani01032,animal,mammal,,,color_tone,pick,22.979412,20.709501,2.269911,1
3,ani01632,animal,animal,,,color_tone,clip,0.236249,0.252004,-0.015755,0
3,ani01632,animal,animal,,,color_tone,pick,19.886143,19.574863,0.311279,1
388,ani00282,animal,bird,,,scale_size,clip,0.1851,0.270466,-0.085365,0
388,ani00282,animal,bird,,,scale_size,pick,21.01137,21.444128,-0.432758,0
412,ani01399,animal,mammal,,,scale_size,clip,0.241549,0.220015,0.021535,1
412,ani01399,animal,mammal,,,scale_size,pick,21.227348,21.330801,-0.103453,0
81,ani00562,animal,bird,,,spatial,clip,0.232628,0.283908,-0.05128,0
81,ani00562,animal,bird,,,spatial,pick,21.710268,23.229942,-1.519674,0
357,ani00233,animal,bird,,,color_tone,clip,0.238653,0.284602,-0.045949,0
357,ani00233,animal,bird,,,color_tone,pick,20.133463,22.126556,-1.993093,0
483,ani00859,animal,mammal,,,layout_relation,clip,0.220765,0.263471,-0.042706,0
483,ani00859,animal,mammal,,,layout_relation,pick,22.664637,20.867729,1.796907,1
174,ani00279,animal,bird,,,spatial,clip,0.248204,0.287671,-0.039467,0
174,ani00279,animal,bird,,,spatial,pick,22.676041,25.23461,-2.558569,0
464,ani00828,animal,mammal,,,color_tone,clip,0.270887,0.270581,0.000306,1
464,ani00828,animal,mammal,,,color_tone,pick,22.449404,21.680861,0.768543,1
79,ani00562,animal,bird,,,spatial,clip,0.242843,0.292353,-0.04951,0
79,ani00562,animal,bird,,,spatial,pick,22.024225,23.319056,-1.29483,0
110,ani01983,animal,animal,,,scale_size,clip,0.202022,0.299735,-0.097713,0
110,ani01983,animal,animal,,,scale_size,pick,19.108263,21.642178,-2.533915,0
390,ani00231,animal,bird,,,color_tone,clip,0.214953,0.26728,-0.052327,0
390,ani00231,animal,bird,,,color_tone,pick,21.59585,22.974373,-1.378523,0
172,ani00279,animal,bird,,,spatial,clip,0.271939,0.28173,-0.009791,0
172,ani00279,animal,bird,,,spatial,pick,23.496471,24.721642,-1.22517,0
490,ani01435,animal,animal,,,color_tone,clip,0.218305,0.240951,-0.022646,0
490,ani01435,animal,animal,,,color_tone,pick,19.795086,19.953001,-0.157915,0
480,ani00292,animal,bird,,,scale_size,clip,0.265696,0.304797,-0.0391,0
480,ani00292,animal,bird,,,scale_size,pick,21.592308,21.552334,0.039974,1
194,ani00847,animal,mammal,,,layout_relation,clip,0.238982,0.205201,0.03378,1
194,ani00847,animal,mammal,,,layout_relation,pick,22.247877,21.224356,1.023521,1
49,ani00221,animal,bird,,,color_tone,clip,0.279018,0.280813,-0.001795,0
49,ani00221,animal,bird,,,color_tone,pick,21.26144,22.513302,-1.251862,0
183,ani00306,animal,bird,,,count,clip,0.286953,0.290901,-0.003948,0
183,ani00306,animal,bird,,,count,pick,22.376219,23.81461,-1.438391,0
433,ani01662,animal,animal,,,spatial,clip,0.2889,0.171489,0.117411,1
433,ani01662,animal,animal,,,spatial,pick,23.794378,20.060375,3.734003,1
176,ani01454,animal,animal,,,layout_relation,clip,0.240931,0.203458,0.037474,1
176,ani01454,animal,animal,,,layout_relation,pick,21.307989,19.93445,1.373539,1
309,ani01701,animal,animal,,,count,clip,0.225089,0.313217,-0.088128,0
309,ani01701,animal,animal,,,count,pick,22.105324,22.268881,-0.163557,0
135,ani01130,animal,mammal,,,color_tone,clip,0.232603,0.263145,-0.030542,0
135,ani01130,animal,mammal,,,color_tone,pick,21.317635,21.173391,0.144243,1
413,ani01399,animal,mammal,,,scale_size,clip,0.232357,0.25169,-0.019333,0
413,ani01399,animal,mammal,,,scale_size,pick,21.119123,21.377678,-0.258554,0
22,ani00706,animal,bird,,,count,clip,0.246597,0.366343,-0.119747,0
22,ani00706,animal,bird,,,count,pick,21.255676,22.470711,-1.215034,0
373,ani01659,animal,animal,,,layout_relation,clip,0.264801,0.18054,0.08426,1
373,ani01659,animal,animal,,,layout_relation,pick,22.592543,19.549492,3.043051,1
235,ani01928,animal,animal,,,color_tone,clip,0.257061,0.295366,-0.038305,0
235,ani01928,animal,animal,,,color_tone,pick,20.517879,21.750683,-1.232803,0
274,ani00445,animal,bird,,,layout_relation,clip,0.231393,0.262705,-0.031312,0
274,ani00445,animal,bird,,,layout_relation,pick,22.383894,22.453606,-0.069712,0
63,ani01956,animal,animal,,,layout_relation,clip,0.168742,0.244578,-0.075836,0
63,ani01956,animal,animal,,,layout_relation,pick,19.193825,21.440908,-2.247084,0
193,ani00847,animal,mammal,,,layout_relation,clip,0.276734,0.221419,0.055315,1
193,ani00847,animal,mammal,,,layout_relation,pick,22.020302,20.731964,1.288338,1
40,ani00084,animal,bird,,,scale_size,clip,0.249668,0.29644,-0.046772,0
40,ani00084,animal,bird,,,scale_size,pick,22.618427,23.493481,-0.875053,0
282,ani01040,animal,mammal,,,color_tone,clip,0.256035,0.241872,0.014163,1
282,ani01040,animal,mammal,,,color_tone,pick,22.466776,20.849524,1.617252,1
150,ani00617,animal,bird,,,count,clip,0.223752,0.29175,-0.067998,0
150,ani00617,animal,bird,,,count,pick,20.48811,23.749029,-3.26092,0
424,ani01991,animal,animal,,,scale_size,clip,0.217558,0.302868,-0.08531,0
424,ani01991,animal,animal,,,scale_size,pick,18.878016,21.882854,-3.004839,0
321,ani00869,animal,mammal,,,spatial,clip,0.227542,0.2486,-0.021058,0
321,ani00869,animal,mammal,,,spatial,pick,22.865601,21.204018,1.661583,1
316,ani00322,animal,bird,,,color_tone,clip,0.245285,0.241553,0.003732,1
316,ani00322,animal,bird,,,color_tone,pick,21.311741,21.585751,-0.27401,0
185,ani01366,animal,mammal,,,spatial,clip,0.265516,0.297155,-0.031639,0
185,ani01366,animal,mammal,,,spatial,pick,20.16917,21.709698,-1.540527,0
295,ani01214,animal,mammal,,,count,clip,0.228359,0.261818,-0.033459,0
295,ani01214,animal,mammal,,,count,pick,21.611343,21.505604,0.10574,1
98,ani01194,animal,mammal,,,scale_size,clip,0.168728,0.236958,-0.06823,0
98,ani01194,animal,mammal,,,scale_size,pick,21.478561,21.685001,-0.20644,0
360,ani00226,animal,bird,,,color_tone,clip,0.28906,0.306124,-0.017064,0
360,ani00226,animal,bird,,,color_tone,pick,21.831221,24.410612,-2.579391,0
35,ani01670,animal,animal,,,spatial,clip,0.315357,0.130368,0.184989,1
35,ani01670,animal,animal,,,spatial,pick,22.737799,19.583364,3.154434,1
23,ani00706,animal,bird,,,count,clip,0.25249,0.315473,-0.062983,0
23,ani00706,animal,bird,,,count,pick,21.831879,23.812683,-1.980804,0
338,ani00875,animal,mammal,,,spatial,clip,0.270973,0.228518,0.042455,1
338,ani00875,animal,mammal,,,spatial,pick,22.914072,21.581602,1.33247,1
116,ani01901,animal,animal,,,count,clip,0.240927,0.244942,-0.004014,0
116,ani01901,animal,animal,,,count,pick,21.141523,23.181908,-2.040384,0
395,ani01630,animal,animal,,,color_tone,clip,0.230762,0.228142,0.00262,1
395,ani01630,animal,animal,,,color_tone,pick,21.503393,21.29722,0.206173,1
148,ani00746,animal,bird,,,layout_relation,clip,0.205653,0.257174,-0.051521,0
148,ani00746,animal,bird,,,layout_relation,pick,20.740969,22.90962,-2.168652,0
444,ani01032,animal,mammal,,,color_tone,clip,0.23677,0.226333,0.010437,1
444,ani01032,animal,mammal,,,color_tone,pick,22.098639,20.869207,1.229431,1
478,ani00292,animal,bird,,,scale_size,clip,0.250046,0.270407,-0.020361,0
478,ani00292,animal,bird,,,scale_size,pick,20.306217,21.926674,-1.620457,0
51,ani00221,animal,bird,,,color_tone,clip,0.22158,0.26843,-0.04685,0
51,ani00221,animal,bird,,,color_tone,pick,20.91094,23.951231,-3.040291,0
447,ani01811,animal,animal,,,count,clip,0.163967,0.290779,-0.126812,0
447,ani01811,animal,animal,,,count,pick,21.209476,23.606981,-2.397505,0
454,ani00717,animal,bird,,,count,clip,0.224756,0.275306,-0.05055,0
454,ani00717,animal,bird,,,count,pick,21.306374,23.961889,-2.655516,0
232,ani01608,animal,animal,,,count,clip,0.297136,0.153473,0.143663,1
232,ani01608,animal,animal,,,count,pick,22.128361,20.246317,1.882044,1
325,ani00298,animal,bird,,,scale_size,clip,0.207033,0.269588,-0.062555,0
325,ani00298,animal,bird,,,scale_size,pick,20.830816,22.2279,-1.397083,0
186,ani01366,animal,mammal,,,spatial,clip,0.273774,0.286924,-0.013151,0
186,ani01366,animal,mammal,,,spatial,pick,19.624224,21.23785,-1.613626,0
83,ani00562,animal,bird,,,spatial,clip,0.251831,0.269107,-0.017276,0
83,ani00562,animal,bird,,,spatial,pick,21.743574,23.997047,-2.253473,0
189,ani01366,animal,mammal,,,spatial,clip,0.265075,0.280575,-0.0155,0
189,ani01366,animal,mammal,,,spatial,pick,19.835045,21.787037,-1.951992,0
181,ani00400,animal,bird,,,scale_size,clip,0.255669,0.333315,-0.077646,0
181,ani00400,animal,bird,,,scale_size,pick,22.949657,23.31259,-0.362932,0
107,ani01983,animal,animal,,,scale_size,clip,0.205803,0.245364,-0.039561,0
107,ani01983,animal,animal,,,scale_size,pick,19.018024,20.397369,-1.379345,0
343,ani00303,animal,bird,,,count,clip,0.24248,0.283086,-0.040606,0
343,ani00303,animal,bird,,,count,pick,21.222078,21.768826,-0.546747,0
136,ani01130,animal,mammal,,,color_tone,clip,0.25085,0.280267,-0.029418,0
136,ani01130,animal,mammal,,,color_tone,pick,20.852028,20.860294,-0.008266,0
470,ani01651,animal,animal,,,layout_relation,clip,0.126451,0.255386,-0.128934,0
470,ani01651,animal,animal,,,layout_relation,pick,19.006994,23.337856,-4.330862,0
349,ani01992,animal,animal,,,scale_size,clip,0.225763,0.312604,-0.086841,0
349,ani01992,animal,animal,,,scale_size,pick,20.136929,22.260311,-2.123383,0
331,ani01917,animal,animal,,,count,clip,0.268586,0.280693,-0.012106,0
331,ani01917,animal,animal,,,count,pick,21.577242,22.610065,-1.032824,0
36,ani01670,animal,animal,,,spatial,clip,0.29658,0.146613,0.149967,1
36,ani01670,animal,animal,,,spatial,pick,22.480158,19.596437,2.88372,1
311,ani00274,animal,bird,,,spatial,clip,0.199327,0.287846,-0.088518,0
311,ani00274,animal,bird,,,spatial,pick,21.062582,22.854229,-1.791647,0
411,ani01399,animal,mammal,,,scale_size,clip,0.240743,0.193968,0.046774,1
411,ani01399,animal,mammal,,,scale_size,pick,22.285311,21.683292,0.602018,1
87,ani00951,animal,mammal,,,layout_relation,clip,0.243813,0.259556,-0.015744,0
87,ani00951,animal,mammal,,,layout_relation,pick,22.14588,21.339996,0.805883,1
273,ani00445,animal,bird,,,layout_relation,clip,0.193362,0.265806,-0.072444,0
273,ani00445,animal,bird,,,layout_relation,pick,21.816074,22.083017,-0.266943,0
438,ani00870,animal,mammal,,,spatial,clip,0.233247,0.227355,0.005892,1
438,ani00870,animal,mammal,,,spatial,pick,21.227936,20.311058,0.916878,1
494,ani01435,animal,animal,,,color_tone,clip,0.184715,0.276042,-0.091327,0
494,ani01435,animal,animal,,,color_tone,pick,19.792963,19.704151,0.088812,1
409,ani01399,animal,mammal,,,scale_size,clip,0.268179,0.214741,0.053438,1
409,ani01399,animal,mammal,,,scale_size,pick,22.065529,21.743183,0.322346,1
236,ani01928,animal,animal,,,color_tone,clip,0.248616,0.274381,-0.025765,0
236,ani01928,animal,animal,,,color_tone,pick,20.052189,21.325312,-1.273123,0
463,ani00828,animal,mammal,,,color_tone,clip,0.238995,0.248078,-0.009083,0
463,ani00828,animal,mammal,,,color_tone,pick,21.596481,20.149096,1.447386,1
138,ani01130,animal,mammal,,,color_tone,clip,0.196134,0.251583,-0.055449,0
138,ani01130,animal,mammal,,,color_tone,pick,21.439451,20.621916,0.817535,1
499,ani00122,animal,bird,,,color_tone,clip,0.177781,0.255744,-0.077962,0
499,ani00122,animal,bird,,,color_tone,pick,20.34561,21.907597,-1.561987,0
352,ani01992,animal,animal,,,scale_size,clip,0.244317,0.295989,-0.051672,0
352,ani01992,animal,animal,,,scale_size,pick,19.370548,22.615772,-3.245224,0
285,ani00339,animal,bird,,,color_tone,clip,0.21144,0.253585,-0.042146,0
285,ani00339,animal,bird,,,color_tone,pick,21.50526,20.892097,0.613163,1
467,ani01651,animal,animal,,,layout_relation,clip,0.14486,0.24502,-0.10016,0
467,ani01651,animal,animal,,,layout_relation,pick,19.89613,22.722639,-2.826509,0
350,ani01992,animal,animal,,,scale_size,clip,0.247585,0.283012,-0.035427,0
350,ani01992,animal,animal,,,scale_size,pick,20.36552,22.000444,-1.634924,0
166,ani01776,animal,animal,,,spatial,clip,0.26805,0.29967,-0.03162,0
166,ani01776,animal,animal,,,spatial,pick,20.892035,21.776684,-0.884649,0
28,ani01806,animal,animal,,,count,clip,0.272148,0.310344,-0.038196,0
28,ani01806,animal,animal,,,count,pick,20.743235,22.655632,-1.912397,0
117,ani01901,animal,animal,,,count,clip,0.273913,0.266193,0.00772,1
117,ani01901,animal,animal,,,count,pick,21.412788,22.571377,-1.158588,0
482,ani00292,animal,bird,,,scale_size,clip,0.22924,0.270733,-0.041493,0
482,ani00292,animal,bird,,,scale_size,pick,20.702402,22.903839,-2.201437,0
161,ani01776,animal,animal,,,spatial,clip,0.257033,0.259177,-0.002144,0
161,ani01776,animal,animal,,,spatial,pick,20.325768,21.227196,-0.901428,0
205,ani00833,animal,mammal,,,color_tone,clip,0.27935,0.255644,0.023706,1
205,ani00833,animal,mammal,,,color_tone,pick,22.91263,22.979521,-0.066891,0
137,ani01130,animal,mammal,,,color_tone,clip,0.230321,0.232939,-0.002618,0
137,ani01130,animal,mammal,,,color_tone,pick,21.733145,20.728355,1.004789,1
33,ani01670,animal,animal,,,spatial,clip,0.244031,0.164696,0.079335,1
33,ani01670,animal,animal,,,spatial,pick,22.990526,19.604689,3.385838,1
108,ani01983,animal,animal,,,scale_size,clip,0.234567,0.273638,-0.039071,0
108,ani01983,animal,animal,,,scale_size,pick,19.043222,20.223413,-1.180191,0
290,ani00202,animal,bird,,,count,clip,0.216439,0.275317,-0.058878,0
290,ani00202,animal,bird,,,count,pick,20.947643,22.513178,-1.565535,0
367,ani00320,animal,bird,,,count,clip,0.259914,0.25925,0.000664,1
367,ani00320,animal,bird,,,count,pick,22.706867,22.660028,0.046839,1
380,ani00348,animal,bird,,,layout_relation,clip,0.246969,0.296913,-0.049944,0
380,ani00348,animal,bird,,,layout_relation,pick,23.087908,23.818863,-0.730955,0
376,ani00352,animal,bird,,,layout_relation,clip,0.309634,0.326042,-0.016408,0
376,ani00352,animal,bird,,,layout_relation,pick,22.565237,22.903364,-0.338127,0
335,ani00855,animal,mammal,,,layout_relation,clip,0.289117,0.263914,0.025203,1
335,ani00855,animal,mammal,,,layout_relation,pick,22.628799,20.971014,1.657785,1
255,ani01874,animal,animal,,,spatial,clip,0.227255,0.239067,-0.011812,0
255,ani01874,animal,animal,,,spatial,pick,17.549139,21.169085,-3.619946,0
202,ani01294,animal,mammal,,,scale_size,clip,0.256764,0.272063,-0.015299,0
202,ani01294,animal,mammal,,,scale_size,pick,21.194893,22.512272,-1.317379,0
329,ani01664,animal,animal,,,spatial,clip,0.240702,0.145136,0.095566,1
329,ani01664,animal,animal,,,spatial,pick,22.744509,18.452759,4.29175,1
234,ani01928,animal,animal,,,color_tone,clip,0.266962,0.306183,-0.039222,0
234,ani01928,animal,animal,,,color_tone,pick,20.903446,21.469759,-0.566313,0
73,ani00877,animal,mammal,,,spatial,clip,0.217262,0.205305,0.011956,1
73,ani00877,animal,mammal,,,spatial,pick,21.983299,19.7962,2.187099,1
441,ani00874,animal,mammal,,,spatial,clip,0.248596,0.220827,0.027769,1
441,ani00874,animal,mammal,,,spatial,pick,22.200645,21.340567,0.860079,1
492,ani01435,animal,animal,,,color_tone,clip,0.213943,0.270062,-0.056119,0
492,ani01435,animal,animal,,,color_tone,pick,19.210945,20.622587,-1.411642,0
126,ani01017,animal,mammal,,,count,clip,0.248504,0.263473,-0.01497,0
126,ani01017,animal,mammal,,,count,pick,23.782778,22.820192,0.962585,1
474,ani00266,animal,bird,,,spatial,clip,0.263877,0.333967,-0.07009,0
474,ani00266,animal,bird,,,spatial,pick,22.165371,24.077726,-1.912355,0
275,ani00445,animal,bird,,,layout_relation,clip,0.22488,0.240208,-0.015327,0
275,ani00445,animal,bird,,,layout_relation,pick,22.477848,23.796354,-1.318506,0
134,ani01130,animal,mammal,,,color_tone,clip,0.222513,0.265828,-0.043316,0
134,ani01130,animal,mammal,,,color_tone,pick,20.722376,20.818098,-0.095722,0
299,ani00850,animal,mammal,,,layout_relation,clip,0.229781,0.225227,0.004554,1
299,ani00850,animal,mammal,,,layout_relation,pick,21.36257,20.600582,0.761988,1
219,ani00409,animal,bird,,,count,clip,0.20562,0.299321,-0.093701,0
219,ani00409,animal,bird,,,count,pick,21.111105,23.648207,-2.537102,0
298,ani00850,animal,mammal,,,layout_relation,clip,0.238395,0.235057,0.003338,1
298,ani00850,animal,mammal,,,layout_relation,pick,22.303127,20.318932,1.984196,1
204,ani00833,animal,mammal,,,color_tone,clip,0.24426,0.241912,0.002348,1
204,ani00833,animal,mammal,,,color_tone,pick,22.857935,23.137671,-0.279736,0
427,ani01991,animal,animal,,,scale_size,clip,0.253457,0.275246,-0.021789,0
427,ani01991,animal,animal,,,scale_size,pick,19.447264,21.223879,-1.776615,0
386,ani00282,animal,bird,,,scale_size,clip,0.220044,0.260944,-0.0409,0
386,ani00282,animal,bird,,,scale_size,pick,21.901079,22.519466,-0.618387,0
70,ani00357,animal,bird,,,layout_relation,clip,0.230189,0.276754,-0.046564,0
70,ani00357,animal,bird,,,layout_relation,pick,22.217903,23.200663,-0.982759,0
260,ani00008,animal,bird,,,count,clip,0.235343,0.255864,-0.02052,0
260,ani00008,animal,bird,,,count,pick,21.31295,21.626516,-0.313566,0
252,ani01874,animal,animal,,,spatial,clip,0.212092,0.240264,-0.028172,0
252,ani01874,animal,animal,,,spatial,pick,17.661386,22.1348,-4.473413,0
46,ani00084,animal,bird,,,scale_size,clip,0.254694,0.266171,-0.011477,0
46,ani00084,animal,bird,,,scale_size,pick,22.540096,24.696266,-2.15617,0
24,ani00706,animal,bird,,,count,clip,0.282881,0.336642,-0.053762,0
24,ani00706,animal,bird,,,count,pick,22.193016,24.343187,-2.150171,0
56,ani00221,animal,bird,,,color_tone,clip,0.26746,0.286489,-0.019029,0
56,ani00221,animal,bird,,,color_tone,pick,21.711477,24.595535,-2.884058,0
78,ani00877,animal,mammal,,,spatial,clip,0.30131,0.267765,0.033546,1
78,ani00877,animal,mammal,,,spatial,pick,23.417799,21.495348,1.922451,1
429,ani01991,animal,animal,,,scale_size,clip,0.249968,0.29308,-0.043112,0
429,ani01991,animal,animal,,,scale_size,pick,18.945614,21.341337,-2.395723,0
458,ani01010,animal,mammal,,,count,clip,0.189377,0.212805,-0.023428,0
458,ani01010,animal,mammal,,,count,pick,21.13423,21.160254,-0.026024,0
487,ani00859,animal,mammal,,,layout_relation,clip,0.264699,0.222559,0.04214,1
487,ani00859,animal,mammal,,,layout_relation,pick,22.165926,20.748453,1.417473,1
305,ani00826,animal,mammal,,,color_tone,clip,0.298075,0.228967,0.069108,1
305,ani00826,animal,mammal,,,color_tone,pick,21.670877,20.986574,0.684303,1
32,ani01670,animal,animal,,,spatial,clip,0.282926,0.143788,0.139138,1
32,ani01670,animal,animal,,,spatial,pick,23.454885,19.480759,3.974127,1
197,ani01294,animal,mammal,,,scale_size,clip,0.243634,0.288279,-0.044645,0
197,ani01294,animal,mammal,,,scale_size,pick,20.78364,21.781044,-0.997404,0
195,ani01294,animal,mammal,,,scale_size,clip,0.26945,0.277365,-0.007915,0
195,ani01294,animal,mammal,,,scale_size,pick,21.937975,22.11223,-0.174255,0
405,ani00845,animal,mammal,,,layout_relation,clip,0.259891,0.255204,0.004687,1
405,ani00845,animal,mammal,,,layout_relation,pick,22.718235,22.499609,0.218626,1
239,ani01928,animal,animal,,,color_tone,clip,0.232465,0.340376,-0.107911,0
239,ani01928,animal,animal,,,color_tone,pick,19.917501,20.736752,-0.81925,0
270,ani01641,animal,animal,,,layout_relation,clip,0.259231,0.13939,0.119841,1
270,ani01641,animal,animal,,,layout_relation,pick,23.91107,19.916128,3.994942,1
128,ani01017,animal,mammal,,,count,clip,0.221805,0.196058,0.025748,1
128,ani01017,animal,mammal,,,count,pick,21.784634,22.946068,-1.161434,0
283,ani01040,animal,mammal,,,color_tone,clip,0.252016,0.245567,0.006449,1
283,ani01040,animal,mammal,,,color_tone,pick,22.310898,20.612724,1.698174,1
5,ani01632,animal,animal,,,color_tone,clip,0.261552,0.267039,-0.005487,0
5,ani01632,animal,animal,,,color_tone,pick,20.103445,20.97835,-0.874905,0
58,ani00221,animal,bird,,,color_tone,clip,0.259673,0.277145,-0.017472,0
58,ani00221,animal,bird,,,color_tone,pick,21.259872,24.488783,-3.22891,0
436,ani00232,animal,bird,,,color_tone,clip,0.242655,0.283392,-0.040738,0
436,ani00232,animal,bird,,,color_tone,pick,20.028944,22.939144,-2.9102,0
404,ani00845,animal,mammal,,,layout_relation,clip,0.265344,0.270883,-0.005539,0
404,ani00845,animal,mammal,,,layout_relation,pick,23.794226,23.290571,0.503654,1
328,ani01664,animal,animal,,,spatial,clip,0.260662,0.140772,0.11989,1
328,ani01664,animal,animal,,,spatial,pick,22.355825,18.961864,3.393961,1
455,ani00252,animal,bird,,,layout_relation,clip,0.250731,0.296952,-0.046221,0
455,ani00252,animal,bird,,,layout_relation,pick,21.427792,22.771378,-1.343586,0
498,ani00122,animal,bird,,,color_tone,clip,0.186546,0.256681,-0.070136,0
