item,id,domain,subcategory,socio_attr,gender,knob,lang,metric,score_correct,score_adv,margin,prefers_correct
71,ani00357,animal,bird,,,layout_relation,el,mclip,0.086744,0.087807,-0.001063,0
377,ani00348,animal,bird,,,layout_relation,en,mclip,0.072768,0.06984,0.002928,1
377,ani00348,animal,bird,,,layout_relation,zh,mclip,0.0236,0.01684,0.006759,1
377,ani00348,animal,bird,,,layout_relation,ru,mclip,0.049391,0.049846,-0.000455,0
377,ani00348,animal,bird,,,layout_relation,ar,mclip,0.067422,0.059117,0.008305,1
377,ani00348,animal,bird,,,layout_relation,hi,mclip,0.084161,0.072964,0.011198,1
377,ani00348,animal,bird,,,layout_relation,bn,mclip,0.057639,0.053881,0.003758,1
377,ani00348,animal,bird,,,layout_relation,el,mclip,0.052878,0.035967,0.016911,1
52,ani00221,animal,bird,,,color_tone,en,mclip,0.115304,0.130719,-0.015415,0
52,ani00221,animal,bird,,,color_tone,zh,mclip,-0.005563,0.010941,-0.016504,0
52,ani00221,animal,bird,,,color_tone,ru,mclip,0.091115,0.106397,-0.015282,0
52,ani00221,animal,bird,,,color_tone,ar,mclip,0.105942,0.125663,-0.019721,0
52,ani00221,animal,bird,,,color_tone,hi,mclip,0.090582,0.101253,-0.010671,0
52,ani00221,animal,bird,,,color_tone,bn,mclip,0.065344,0.092226,-0.026882,0
52,ani00221,animal,bird,,,color_tone,el,mclip,0.056403,0.080674,-0.024271,0
346,ani00837,animal,mammal,,,color_tone,en,mclip,0.141264,0.090874,0.05039,1
346,ani00837,animal,mammal,,,color_tone,zh,mclip,0.102246,0.08172,0.020527,1
346,ani00837,animal,mammal,,,color_tone,ru,mclip,0.116085,0.074933,0.041152,1
346,ani00837,animal,mammal,,,color_tone,ar,mclip,0.147969,0.112158,0.035811,1
346,ani00837,animal,mammal,,,color_tone,hi,mclip,0.088622,0.068822,0.0198,1
346,ani00837,animal,mammal,,,color_tone,bn,mclip,0.111667,0.069331,0.042336,1
346,ani00837,animal,mammal,,,color_tone,el,mclip,0.105455,0.068709,0.036746,1
496,ani00122,animal,bird,,,color_tone,en,mclip,0.096587,0.133994,-0.037407,0
496,ani00122,animal,bird,,,color_tone,zh,mclip,0.064374,0.111923,-0.047549,0
496,ani00122,animal,bird,,,color_tone,ru,mclip,0.067561,0.110339,-0.042778,0
496,ani00122,animal,bird,,,color_tone,ar,mclip,0.108236,0.121742,-0.013506,0
496,ani00122,animal,bird,,,color_tone,hi,mclip,0.083854,0.101058,-0.017204,0
496,ani00122,animal,bird,,,color_tone,bn,mclip,0.07241,0.079014,-0.006604,0
496,ani00122,animal,bird,,,color_tone,el,mclip,0.078583,0.118698,-0.040115,0
456,ani00252,animal,bird,,,layout_relation,en,mclip,0.138546,0.116363,0.022183,1
456,ani00252,animal,bird,,,layout_relation,zh,mclip,0.070279,0.076332,-0.006053,0
456,ani00252,animal,bird,,,layout_relation,ru,mclip,0.111784,0.108069,0.003715,1
456,ani00252,animal,bird,,,layout_relation,ar,mclip,0.132833,0.117634,0.015199,1
456,ani00252,animal,bird,,,layout_relation,hi,mclip,0.081803,0.091131,-0.009329,0
456,ani00252,animal,bird,,,layout_relation,bn,mclip,0.116395,0.116452,-5.6e-05,0
456,ani00252,animal,bird,,,layout_relation,el,mclip,0.083661,0.105681,-0.02202,0
279,ani01108,animal,mammal,,,count,en,mclip,0.084922,0.111629,-0.026707,0
279,ani01108,animal,mammal,,,count,zh,mclip,0.029759,0.035922,-0.006162,0
279,ani01108,animal,mammal,,,count,ru,mclip,0.082584,0.093215,-0.010631,0
279,ani01108,animal,mammal,,,count,ar,mclip,0.078793,0.076765,0.002028,1
279,ani01108,animal,mammal,,,count,hi,mclip,0.070308,0.058124,0.012184,1
279,ani01108,animal,mammal,,,count,bn,mclip,0.084888,0.053251,0.031637,1
279,ani01108,animal,mammal,,,count,el,mclip,0.07884,0.0428,0.036039,1
44,ani00084,animal,bird,,,scale_size,en,mclip,0.099348,0.164416,-0.065068,0
44,ani00084,animal,bird,,,scale_size,zh,mclip,0.104515,0.144417,-0.039902,0
44,ani00084,animal,bird,,,scale_size,ru,mclip,0.090153,0.142742,-0.052589,0
44,ani00084,animal,bird,,,scale_size,ar,mclip,0.096996,0.158468,-0.061471,0
44,ani00084,animal,bird,,,scale_size,hi,mclip,0.106128,0.143401,-0.037273,0
44,ani00084,animal,bird,,,scale_size,bn,mclip,0.096535,0.132737,-0.036202,0
44,ani00084,animal,bird,,,scale_size,el,mclip,0.07625,0.138582,-0.062332,0
302,ani00370,animal,bird,,,spatial,en,mclip,0.123523,0.137263,-0.01374,0
302,ani00370,animal,bird,,,spatial,zh,mclip,0.045486,0.03539,0.010096,1
302,ani00370,animal,bird,,,spatial,ru,mclip,0.092481,0.111722,-0.01924,0
302,ani00370,animal,bird,,,spatial,ar,mclip,0.116883,0.138739,-0.021857,0
302,ani00370,animal,bird,,,spatial,hi,mclip,0.122815,0.119815,0.003,1
302,ani00370,animal,bird,,,spatial,bn,mclip,0.095051,0.119126,-0.024074,0
302,ani00370,animal,bird,,,spatial,el,mclip,0.105459,0.124136,-0.018677,0
216,ani00409,animal,bird,,,count,en,mclip,0.062722,0.103322,-0.0406,0
216,ani00409,animal,bird,,,count,zh,mclip,0.020217,0.073612,-0.053395,0
216,ani00409,animal,bird,,,count,ru,mclip,0.065473,0.105192,-0.03972,0
216,ani00409,animal,bird,,,count,ar,mclip,0.080733,0.126257,-0.045524,0
216,ani00409,animal,bird,,,count,hi,mclip,0.070859,0.099635,-0.028776,0
216,ani00409,animal,bird,,,count,bn,mclip,0.077427,0.099258,-0.021831,0
216,ani00409,animal,bird,,,count,el,mclip,0.066801,0.101306,-0.034505,0
16,ani01229,animal,mammal,,,color_tone,en,mclip,0.104838,0.109585,-0.004747,0
16,ani01229,animal,mammal,,,color_tone,zh,mclip,0.087657,0.085884,0.001773,1
16,ani01229,animal,mammal,,,color_tone,ru,mclip,0.121183,0.117336,0.003847,1
16,ani01229,animal,mammal,,,color_tone,ar,mclip,0.122993,0.107994,0.015,1
16,ani01229,animal,mammal,,,color_tone,hi,mclip,0.0772,0.0916,-0.0144,0
16,ani01229,animal,mammal,,,color_tone,bn,mclip,0.115901,0.104885,0.011016,1
16,ani01229,animal,mammal,,,color_tone,el,mclip,0.111114,0.077879,0.033235,1
15,ani01229,animal,mammal,,,color_tone,en,mclip,0.107253,0.114477,-0.007223,0
15,ani01229,animal,mammal,,,color_tone,zh,mclip,0.101053,0.094728,0.006326,1
15,ani01229,animal,mammal,,,color_tone,ru,mclip,0.126123,0.120002,0.00612,1
15,ani01229,animal,mammal,,,color_tone,ar,mclip,0.130059,0.103643,0.026416,1
15,ani01229,animal,mammal,,,color_tone,hi,mclip,0.075247,0.09325,-0.018003,0
15,ani01229,animal,mammal,,,color_tone,bn,mclip,0.120965,0.101689,0.019276,1
15,ani01229,animal,mammal,,,color_tone,el,mclip,0.107998,0.082278,0.02572,1
47,ani00084,animal,bird,,,scale_size,en,mclip,0.103403,0.147555,-0.044152,0
47,ani00084,animal,bird,,,scale_size,zh,mclip,0.100191,0.136898,-0.036707,0
47,ani00084,animal,bird,,,scale_size,ru,mclip,0.090451,0.140779,-0.050328,0
47,ani00084,animal,bird,,,scale_size,ar,mclip,0.098441,0.140755,-0.042315,0
47,ani00084,animal,bird,,,scale_size,hi,mclip,0.098964,0.137342,-0.038378,0
47,ani00084,animal,bird,,,scale_size,bn,mclip,0.076089,0.129547,-0.053457,0
47,ani00084,animal,bird,,,scale_size,el,mclip,0.081472,0.128854,-0.047382,0
111,ani01983,animal,animal,,,scale_size,en,mclip,0.030334,0.141992,-0.111659,0
111,ani01983,animal,animal,,,scale_size,zh,mclip,0.011915,0.063483,-0.051569,0
111,ani01983,animal,animal,,,scale_size,ru,mclip,0.030965,0.13404,-0.103074,0
111,ani01983,animal,animal,,,scale_size,ar,mclip,0.052189,0.121969,-0.06978,0
111,ani01983,animal,animal,,,scale_size,hi,mclip,0.046395,0.084812,-0.038417,0
111,ani01983,animal,animal,,,scale_size,bn,mclip,0.079162,0.081662,-0.002499,0
111,ani01983,animal,animal,,,scale_size,el,mclip,0.055006,0.094457,-0.039451,0
119,ani01901,animal,animal,,,count,en,mclip,0.08753,0.129818,-0.042288,0
119,ani01901,animal,animal,,,count,zh,mclip,0.062532,0.091972,-0.02944,0
119,ani01901,animal,animal,,,count,ru,mclip,0.084685,0.1243,-0.039615,0
119,ani01901,animal,animal,,,count,ar,mclip,0.0716,0.105451,-0.033851,0
119,ani01901,animal,animal,,,count,hi,mclip,0.094588,0.093288,0.0013,1
119,ani01901,animal,animal,,,count,bn,mclip,0.092629,0.054415,0.038214,1
119,ani01901,animal,animal,,,count,el,mclip,0.072907,0.10961,-0.036703,0
258,ani00008,animal,bird,,,count,en,mclip,0.094716,0.143494,-0.048777,0
258,ani00008,animal,bird,,,count,zh,mclip,0.042483,0.059917,-0.017434,0
258,ani00008,animal,bird,,,count,ru,mclip,0.071235,0.116434,-0.045199,0
258,ani00008,animal,bird,,,count,ar,mclip,0.092858,0.122023,-0.029165,0
258,ani00008,animal,bird,,,count,hi,mclip,0.066123,0.112293,-0.04617,0
258,ani00008,animal,bird,,,count,bn,mclip,0.07272,0.092867,-0.020147,0
258,ani00008,animal,bird,,,count,el,mclip,0.061804,0.102643,-0.040839,0
308,ani00392,animal,bird,,,scale_size,en,mclip,0.125919,0.147286,-0.021367,0
308,ani00392,animal,bird,,,scale_size,zh,mclip,0.113917,0.139602,-0.025685,0
308,ani00392,animal,bird,,,scale_size,ru,mclip,0.108358,0.157396,-0.049037,0
308,ani00392,animal,bird,,,scale_size,ar,mclip,0.127017,0.15744,-0.030424,0
308,ani00392,animal,bird,,,scale_size,hi,mclip,0.116008,0.130779,-0.01477,0
308,ani00392,animal,bird,,,scale_size,bn,mclip,0.108587,0.129924,-0.021337,0
308,ani00392,animal,bird,,,scale_size,el,mclip,0.114814,0.140517,-0.025703,0
13,ani01509,animal,animal,,,count,en,mclip,0.073707,0.146437,-0.07273,0
13,ani01509,animal,animal,,,count,zh,mclip,0.057732,0.099297,-0.041565,0
13,ani01509,animal,animal,,,count,ru,mclip,0.06565,0.134731,-0.069081,0
13,ani01509,animal,animal,,,count,ar,mclip,0.046443,0.121977,-0.075535,0
13,ani01509,animal,animal,,,count,hi,mclip,0.086536,0.097021,-0.010486,0
13,ani01509,animal,animal,,,count,bn,mclip,0.068899,0.087589,-0.018691,0
13,ani01509,animal,animal,,,count,el,mclip,0.056008,0.1333,-0.077293,0
287,ani00339,animal,bird,,,color_tone,en,mclip,0.10092,0.141238,-0.040319,0
287,ani00339,animal,bird,,,color_tone,zh,mclip,0.057835,0.053486,0.004348,1
287,ani00339,animal,bird,,,color_tone,ru,mclip,0.107939,0.131523,-0.023584,0
287,ani00339,animal,bird,,,color_tone,ar,mclip,0.114473,0.152457,-0.037985,0
287,ani00339,animal,bird,,,color_tone,hi,mclip,0.134563,0.142722,-0.008159,0
287,ani00339,animal,bird,,,color_tone,bn,mclip,0.07672,0.128783,-0.052063,0
287,ani00339,animal,bird,,,color_tone,el,mclip,0.112752,0.125828,-0.013076,0
101,ani01194,animal,mammal,,,scale_size,en,mclip,0.09596,0.080944,0.015016,1
101,ani01194,animal,mammal,,,scale_size,zh,mclip,0.066949,0.011541,0.055408,1
101,ani01194,animal,mammal,,,scale_size,ru,mclip,0.089534,0.067185,0.022349,1
101,ani01194,animal,mammal,,,scale_size,ar,mclip,0.093498,0.078845,0.014653,1
101,ani01194,animal,mammal,,,scale_size,hi,mclip,0.067362,0.053114,0.014249,1
101,ani01194,animal,mammal,,,scale_size,bn,mclip,0.107343,0.037654,0.069689,1
101,ani01194,animal,mammal,,,scale_size,el,mclip,0.076884,0.052637,0.024246,1
366,ani01111,animal,mammal,,,count,en,mclip,0.122249,0.117623,0.004625,1
366,ani01111,animal,mammal,,,count,zh,mclip,0.083389,0.052789,0.030601,1
366,ani01111,animal,mammal,,,count,ru,mclip,0.100738,0.089427,0.011311,1
366,ani01111,animal,mammal,,,count,ar,mclip,0.120213,0.124808,-0.004595,0
366,ani01111,animal,mammal,,,count,hi,mclip,0.055127,0.063381,-0.008254,0
366,ani01111,animal,mammal,,,count,bn,mclip,0.130836,0.119297,0.011539,1
366,ani01111,animal,mammal,,,count,el,mclip,0.117649,0.090756,0.026893,1
332,ani01917,animal,animal,,,count,en,mclip,0.116688,0.1355,-0.018812,0
332,ani01917,animal,animal,,,count,zh,mclip,0.051034,0.074018,-0.022984,0
332,ani01917,animal,animal,,,count,ru,mclip,0.096793,0.119945,-0.023151,0
332,ani01917,animal,animal,,,count,ar,mclip,0.091332,0.102399,-0.011067,0
332,ani01917,animal,animal,,,count,hi,mclip,0.060778,0.097765,-0.036986,0
332,ani01917,animal,animal,,,count,bn,mclip,0.100262,0.103804,-0.003542,0
332,ani01917,animal,animal,,,count,el,mclip,0.08539,0.118733,-0.033343,0
359,ani00226,animal,bird,,,color_tone,en,mclip,0.113366,0.131812,-0.018446,0
359,ani00226,animal,bird,,,color_tone,zh,mclip,0.047852,0.062197,-0.014344,0
359,ani00226,animal,bird,,,color_tone,ru,mclip,0.092766,0.107877,-0.015111,0
359,ani00226,animal,bird,,,color_tone,ar,mclip,0.12165,0.123277,-0.001626,0
359,ani00226,animal,bird,,,color_tone,hi,mclip,0.10247,0.114363,-0.011893,0
359,ani00226,animal,bird,,,color_tone,bn,mclip,0.118693,0.128114,-0.009421,0
359,ani00226,animal,bird,,,color_tone,el,mclip,0.079699,0.099278,-0.019579,0
486,ani00859,animal,mammal,,,layout_relation,en,mclip,0.113102,0.109415,0.003688,1
486,ani00859,animal,mammal,,,layout_relation,zh,mclip,0.071795,0.050124,0.02167,1
486,ani00859,animal,mammal,,,layout_relation,ru,mclip,0.111606,0.089199,0.022408,1
486,ani00859,animal,mammal,,,layout_relation,ar,mclip,0.112579,0.107135,0.005444,1
486,ani00859,animal,mammal,,,layout_relation,hi,mclip,0.087543,0.080578,0.006965,1
486,ani00859,animal,mammal,,,layout_relation,bn,mclip,0.09176,0.053719,0.038041,1
486,ani00859,animal,mammal,,,layout_relation,el,mclip,0.098869,0.099212,-0.000343,0
214,ani00251,animal,bird,,,layout_relation,en,mclip,0.136279,0.141659,-0.005379,0
214,ani00251,animal,bird,,,layout_relation,zh,mclip,0.097213,0.091349,0.005864,1
214,ani00251,animal,bird,,,layout_relation,ru,mclip,0.106624,0.126256,-0.019632,0
214,ani00251,animal,bird,,,layout_relation,ar,mclip,0.12936,0.133478,-0.004118,0
214,ani00251,animal,bird,,,layout_relation,hi,mclip,0.130085,0.144952,-0.014866,0
214,ani00251,animal,bird,,,layout_relation,bn,mclip,0.122901,0.114929,0.007973,1
214,ani00251,animal,bird,,,layout_relation,el,mclip,0.129353,0.152807,-0.023454,0
112,ani01983,animal,animal,,,scale_size,en,mclip,0.013185,0.120195,-0.107011,0
112,ani01983,animal,animal,,,scale_size,zh,mclip,-0.011271,0.048997,-0.060268,0
112,ani01983,animal,animal,,,scale_size,ru,mclip,0.005559,0.104745,-0.099186,0
112,ani01983,animal,animal,,,scale_size,ar,mclip,0.02143,0.095339,-0.073909,0
112,ani01983,animal,animal,,,scale_size,hi,mclip,0.019309,0.068009,-0.048699,0
112,ani01983,animal,animal,,,scale_size,bn,mclip,0.04206,0.07923,-0.03717,0
112,ani01983,animal,animal,,,scale_size,el,mclip,0.025271,0.088256,-0.062985,0
229,ani01608,animal,animal,,,count,en,mclip,0.176882,0.040246,0.136636,1
229,ani01608,animal,animal,,,count,zh,mclip,0.061547,0.009548,0.051999,1
229,ani01608,animal,animal,,,count,ru,mclip,0.148884,0.071994,0.07689,1
229,ani01608,animal,animal,,,count,ar,mclip,0.13881,0.050301,0.088509,1
229,ani01608,animal,animal,,,count,hi,mclip,0.048126,0.029193,0.018933,1
229,ani01608,animal,animal,,,count,bn,mclip,0.104795,0.054528,0.050267,1
229,ani01608,animal,animal,,,count,el,mclip,0.098007,0.034384,0.063622,1
301,ani00850,animal,mammal,,,layout_relation,en,mclip,0.108282,0.077733,0.030549,1
301,ani00850,animal,mammal,,,layout_relation,zh,mclip,0.086726,0.055521,0.031205,1
301,ani00850,animal,mammal,,,layout_relation,ru,mclip,0.108867,0.068138,0.040729,1
301,ani00850,animal,mammal,,,layout_relation,ar,mclip,0.122247,0.088956,0.033291,1
301,ani00850,animal,mammal,,,layout_relation,hi,mclip,0.069394,0.062897,0.006497,1
301,ani00850,animal,mammal,,,layout_relation,bn,mclip,0.09993,0.052784,0.047146,1
301,ani00850,animal,mammal,,,layout_relation,el,mclip,0.10027,0.081235,0.019035,1
142,ani00746,animal,bird,,,layout_relation,en,mclip,0.090138,0.135879,-0.045741,0
142,ani00746,animal,bird,,,layout_relation,zh,mclip,0.059768,0.054318,0.00545,1
142,ani00746,animal,bird,,,layout_relation,ru,mclip,0.08321,0.1144,-0.03119,0
142,ani00746,animal,bird,,,layout_relation,ar,mclip,0.093697,0.140387,-0.04669,0
142,ani00746,animal,bird,,,layout_relation,hi,mclip,0.079282,0.106733,-0.027451,0
142,ani00746,animal,bird,,,layout_relation,bn,mclip,0.071753,0.073554,-0.001802,0
142,ani00746,animal,bird,,,layout_relation,el,mclip,0.074979,0.133563,-0.058584,0
414,ani01399,animal,mammal,,,scale_size,en,mclip,0.122461,0.103319,0.019142,1
414,ani01399,animal,mammal,,,scale_size,zh,mclip,0.079287,0.067121,0.012167,1
414,ani01399,animal,mammal,,,scale_size,ru,mclip,0.121317,0.108588,0.012729,1
414,ani01399,animal,mammal,,,scale_size,ar,mclip,0.106585,0.101263,0.005322,1
414,ani01399,animal,mammal,,,scale_size,hi,mclip,0.052348,0.071816,-0.019468,0
414,ani01399,animal,mammal,,,scale_size,bn,mclip,0.103407,0.072508,0.030899,1
414,ani01399,animal,mammal,,,scale_size,el,mclip,0.111744,0.101493,0.01025,1
445,ani01032,animal,mammal,,,color_tone,en,mclip,0.125919,0.063017,0.062902,1
445,ani01032,animal,mammal,,,color_tone,zh,mclip,0.035382,0.037573,-0.002192,0
445,ani01032,animal,mammal,,,color_tone,ru,mclip,0.114713,0.064324,0.050389,1
445,ani01032,animal,mammal,,,color_tone,ar,mclip,0.10936,0.057881,0.051479,1
445,ani01032,animal,mammal,,,color_tone,hi,mclip,0.083197,0.059135,0.024063,1
445,ani01032,animal,mammal,,,color_tone,bn,mclip,0.049379,0.025795,0.023584,1
445,ani01032,animal,mammal,,,color_tone,el,mclip,0.113327,0.036018,0.077309,1
3,ani01632,animal,animal,,,color_tone,en,mclip,0.089517,0.052619,0.036898,1
3,ani01632,animal,animal,,,color_tone,zh,mclip,0.033813,0.022681,0.011132,1
3,ani01632,animal,animal,,,color_tone,ru,mclip,0.085113,0.082229,0.002884,1
3,ani01632,animal,animal,,,color_tone,ar,mclip,0.087114,0.089613,-0.0025,0
3,ani01632,animal,animal,,,color_tone,hi,mclip,0.085539,0.043131,0.042408,1
3,ani01632,animal,animal,,,color_tone,bn,mclip,0.120601,0.059213,0.061388,1
3,ani01632,animal,animal,,,color_tone,el,mclip,0.076695,0.05539,0.021305,1
388,ani00282,animal,bird,,,scale_size,en,mclip,0.086391,0.132309,-0.045918,0
388,ani00282,animal,bird,,,scale_size,zh,mclip,0.025446,0.050601,-0.025155,0
388,ani00282,animal,bird,,,scale_size,ru,mclip,0.072005,0.123288,-0.051284,0
388,ani00282,animal,bird,,,scale_size,ar,mclip,0.084073,0.133248,-0.049175,0
388,ani00282,animal,bird,,,scale_size,hi,mclip,0.093809,0.137911,-0.044102,0
388,ani00282,animal,bird,,,scale_size,bn,mclip,0.080781,0.129523,-0.048743,0
388,ani00282,animal,bird,,,scale_size,el,mclip,0.064274,0.124019,-0.059745,0
412,ani01399,animal,mammal,,,scale_size,en,mclip,0.114663,0.08453,0.030133,1
412,ani01399,animal,mammal,,,scale_size,zh,mclip,0.081002,0.066386,0.014616,1
412,ani01399,animal,mammal,,,scale_size,ru,mclip,0.120381,0.099419,0.020962,1
412,ani01399,animal,mammal,,,scale_size,ar,mclip,0.116082,0.097132,0.01895,1
412,ani01399,animal,mammal,,,scale_size,hi,mclip,0.076823,0.060414,0.016409,1
412,ani01399,animal,mammal,,,scale_size,bn,mclip,0.117543,0.072959,0.044584,1
412,ani01399,animal,mammal,,,scale_size,el,mclip,0.105895,0.086161,0.019734,1
81,ani00562,animal,bird,,,spatial,en,mclip,0.119944,0.126476,-0.006533,0
81,ani00562,animal,bird,,,spatial,zh,mclip,0.033655,0.022801,0.010853,1
81,ani00562,animal,bird,,,spatial,ru,mclip,0.106181,0.100616,0.005565,1
81,ani00562,animal,bird,,,spatial,ar,mclip,0.111814,0.134719,-0.022905,0
81,ani00562,animal,bird,,,spatial,hi,mclip,0.106707,0.120683,-0.013976,0
81,ani00562,animal,bird,,,spatial,bn,mclip,0.107561,0.12319,-0.015629,0
81,ani00562,animal,bird,,,spatial,el,mclip,0.101885,0.105997,-0.004111,0
357,ani00233,animal,bird,,,color_tone,en,mclip,0.103845,0.125368,-0.021523,0
357,ani00233,animal,bird,,,color_tone,zh,mclip,0.033721,0.037137,-0.003416,0
357,ani00233,animal,bird,,,color_tone,ru,mclip,0.096738,0.131825,-0.035087,0
357,ani00233,animal,bird,,,color_tone,ar,mclip,0.108783,0.139868,-0.031085,0
357,ani00233,animal,bird,,,color_tone,hi,mclip,0.103459,0.114477,-0.011018,0
357,ani00233,animal,bird,,,color_tone,bn,mclip,0.0966,0.105857,-0.009256,0
357,ani00233,animal,bird,,,color_tone,el,mclip,0.078212,0.087952,-0.00974,0
483,ani00859,animal,mammal,,,layout_relation,en,mclip,0.105103,0.02766,0.077443,1
483,ani00859,animal,mammal,,,layout_relation,zh,mclip,0.094561,0.032668,0.061893,1
483,ani00859,animal,mammal,,,layout_relation,ru,mclip,0.102327,0.03574,0.066587,1
483,ani00859,animal,mammal,,,layout_relation,ar,mclip,0.122747,0.042941,0.079806,1
483,ani00859,animal,mammal,,,layout_relation,hi,mclip,0.059742,0.029175,0.030567,1
483,ani00859,animal,mammal,,,layout_relation,bn,mclip,0.095279,0.039828,0.055451,1
483,ani00859,animal,mammal,,,layout_relation,el,mclip,0.098627,0.029406,0.069221,1
174,ani00279,animal,bird,,,spatial,en,mclip,0.122889,0.135738,-0.012849,0
174,ani00279,animal,bird,,,spatial,zh,mclip,0.016084,0.038559,-0.022475,0
174,ani00279,animal,bird,,,spatial,ru,mclip,0.103059,0.116441,-0.013383,0
174,ani00279,animal,bird,,,spatial,ar,mclip,0.122354,0.114795,0.007559,1
174,ani00279,animal,bird,,,spatial,hi,mclip,0.084844,0.097553,-0.012709,0
174,ani00279,animal,bird,,,spatial,bn,mclip,0.081245,0.105327,-0.024082,0
